#p1    p2    Alive%
0.2    0.25    0.0008679
0.2    0.30000000000000004    0.00092602
0.2    0.35000000000000003    0.00098102
0.2    0.4    0.00100716
0.2    0.45    0.00103556
0.2    0.5    0.00106088
0.2    0.55    0.00108656
0.2    0.6000000000000001    0.00109504
0.2    0.65    0.00110724
0.2    0.7000000000000001    0.00112152
0.2    0.75    0.00113444
0.2    0.8    0.001147
0.2    0.8500000000000001    0.00114964
0.2    0.9    0.00115134
0.2    0.9500000000000001    0.0011659
0.2    1.0    0.00116502
0.25    0.0    0.00028332
0.25    0.05    0.00035308000000000003
0.25    0.1    0.00043094
0.25    0.15000000000000002    0.00054462
0.25    0.2    0.0006352
0.25    0.25    0.0007231399999999999
0.25    0.30000000000000004    0.0008006399999999999
0.25    0.35000000000000003    0.00087012
0.25    0.4    0.0009268000000000001
0.25    0.45    0.00096068
0.25    0.5    0.00099992
0.25    0.55    0.0010176
0.25    0.6000000000000001    0.00103426
0.25    0.65    0.0010646000000000002
0.25    0.7000000000000001    0.001072
0.25    0.75    0.00107924
0.25    0.8    0.00109574
0.25    0.8500000000000001    0.00110514
0.25    0.9    0.00111434
0.25    0.9500000000000001    0.00112112
0.25    1.0    0.00112758
0.30000000000000004    0.0    0.00023121999999999997
0.30000000000000004    0.05    0.00025412
0.30000000000000004    0.1    0.00032378
0.30000000000000004    0.15000000000000002    0.00040892
0.30000000000000004    0.2    0.00049774
0.30000000000000004    0.25    0.00057888
0.30000000000000004    0.30000000000000004    0.00068706
0.30000000000000004    0.35000000000000003    0.00076936
0.30000000000000004    0.4    0.00083616
0.30000000000000004    0.45    0.0008869999999999999
0.30000000000000004    0.5    0.00092668
0.30000000000000004    0.55    0.00095412
0.30000000000000004    0.6000000000000001    0.00098678
0.30000000000000004    0.65    0.00101052
0.30000000000000004    0.7000000000000001    0.00102064
0.30000000000000004    0.75    0.00104008
0.30000000000000004    0.8    0.00106218
0.30000000000000004    0.8500000000000001    0.00106756
0.30000000000000004    0.9    0.0010763
0.30000000000000004    0.9500000000000001    0.00109116
0.30000000000000004    1.0    0.00110066
0.35000000000000003    0.0    0.0001778
0.35000000000000003    0.05    0.00021280000000000002
0.35000000000000003    0.1    0.00025046
0.35000000000000003    0.15000000000000002    0.00031088
0.35000000000000003    0.2    0.00037528
0.35000000000000003    0.25    0.00044968000000000004
0.35000000000000003    0.30000000000000004    0.00056684
0.35000000000000003    0.35000000000000003    0.0006508
0.35000000000000003    0.4    0.00072268
0.35000000000000003    0.45    0.0008008599999999999
0.35000000000000003    0.5    0.00085558
0.35000000000000003    0.55    0.0008939999999999999
0.35000000000000003    0.6000000000000001    0.0009255800000000001
0.35000000000000003    0.65    0.0009492200000000001
0.35000000000000003    0.7000000000000001    0.00097714
0.35000000000000003    0.75    0.00099784
0.35000000000000003    0.8    0.00101662
0.35000000000000003    0.8500000000000001    0.001034
0.35000000000000003    0.9    0.0010418200000000002
0.35000000000000003    0.9500000000000001    0.0010542400000000001
0.35000000000000003    1.0    0.00106632
0.4    0.0    0.00014006
0.4    0.05    0.00017188000000000001
0.4    0.1    0.00020356
0.4    0.15000000000000002    0.000245
0.4    0.2    0.00029291999999999995
