#p1    p2    variance
0.25    0.25    4.8451934890178274e-05
0.25    0.30000000000000004    4.986290841400347e-05
0.25    0.35000000000000003    4.9777926519915824e-05
0.25    0.4    4.943691033502632e-05
0.25    0.45    5.1418773858309527e-05
0.25    0.5    5.0766375728796825e-05
0.25    0.55    5.1339168219557456e-05
0.25    0.6000000000000001    5.056654739943288e-05
0.25    0.65    4.9247413824953815e-05
0.25    0.7000000000000001    4.908225229220587e-05
0.25    0.75    5.009531157708848e-05
0.25    0.8    5.014705807760861e-05
0.25    0.8500000000000001    4.80904346478122e-05
0.25    0.9    5.050440427947172e-05
0.25    0.9500000000000001    4.9424212442172266e-05
0.25    1.0    4.874882122960492e-05
0.30000000000000004    0.0    4.976199701366954e-05
0.30000000000000004    0.05    4.9950453179783665e-05
0.30000000000000004    0.1    5.101984955278184e-05
0.30000000000000004    0.15000000000000002    5.135343381399936e-05
0.30000000000000004    0.2    4.8985120408853636e-05
0.30000000000000004    0.25    4.891721430739978e-05
0.30000000000000004    0.30000000000000004    4.929597168409725e-05
0.30000000000000004    0.35000000000000003    4.865967718670229e-05
0.30000000000000004    0.4    4.879970313833682e-05
0.30000000000000004    0.45    5.041935667356407e-05
0.30000000000000004    0.5    5.070129788988044e-05
0.30000000000000004    0.55    5.040735923343577e-05
0.30000000000000004    0.6000000000000001    5.046189673710685e-05
0.30000000000000004    0.65    4.882459091853064e-05
0.30000000000000004    0.7000000000000001    4.974884941505205e-05
0.30000000000000004    0.75    4.905025465383618e-05
0.30000000000000004    0.8    4.9702041165540994e-05
0.30000000000000004    0.8500000000000001    5.001439700529224e-05
0.30000000000000004    0.9    4.96116041324374e-05
0.30000000000000004    0.9500000000000001    4.891801889120401e-05
0.30000000000000004    1.0    5.038867756216185e-05
0.35000000000000003    0.0    4.9767862219766226e-05
0.35000000000000003    0.05    5.074787642120276e-05
0.35000000000000003    0.1    5.0855067222211474e-05
0.35000000000000003    0.15000000000000002    4.983907849615052e-05
0.35000000000000003    0.2    5.0099549894956057e-05
0.35000000000000003    0.25    4.937684192216756e-05
0.35000000000000003    0.30000000000000004    5.159631581393831e-05
0.35000000000000003    0.35000000000000003    4.953496377218805e-05
0.35000000000000003    0.4    5.110779276973738e-05
0.35000000000000003    0.45    5.035834135118446e-05
0.35000000000000003    0.5    4.937102209775827e-05
0.35000000000000003    0.55    5.0210456857241107e-05
0.35000000000000003    0.6000000000000001    4.8802027985686954e-05
0.35000000000000003    0.65    5.095243365308815e-05
0.35000000000000003    0.7000000000000001    5.018267867902819e-05
0.35000000000000003    0.75    4.82340652463525e-05
0.35000000000000003    0.8    5.06672717110677e-05
0.35000000000000003    0.8500000000000001    5.0205596170568165e-05
0.35000000000000003    0.9    4.896603777241602e-05
0.35000000000000003    0.9500000000000001    5.1106496737570444e-05
0.35000000000000003    1.0    4.949905835866373e-05
0.4    0.0    4.918916880588829e-05
0.4    0.05    4.963627281794199e-05
0.4    0.1    5.002517349717452e-05
0.4    0.15000000000000002    4.923628595902702e-05
0.4    0.2    4.9899161671197186e-05
0.4    0.25    5.052836009458671e-05
0.4    0.30000000000000004    5.071881591225961e-05
0.4    0.35000000000000003    5.1511612297504e-05
0.4    0.4    4.970801275211626e-05
0.4    0.45    5.0226629512928943e-05
0.4    0.5    5.0229478972505405e-05
0.4    0.55    5.004553745714831e-05
0.4    0.6000000000000001    4.915807651989184e-05
0.4    0.65    4.901567473650284e-05
0.4    0.7000000000000001    5.103679057485361e-05
0.4    0.75    4.9885217970388816e-05
0.4    0.8    5.114850601982321e-05
0.4    0.8500000000000001    4.911900519919982e-05
0.4    0.9    4.9232478680658885e-05
0.4    0.9500000000000001    4.8677437774989966e-05
0.4    1.0    5.078785810625768e-05
0.45    0.0    5.05897622190628e-05
0.45    0.05    5.05934846469249e-05
0.45    0.1    5.0627053193117034e-05
0.45    0.15000000000000002    5.152593875204814e-05
0.45    0.2    4.872095194709001e-05
0.45    0.25    5.138037409266599e-05
0.45    0.30000000000000004    5.105726954799848e-05
0.45    0.35000000000000003    5.03074322054465e-05
0.45    0.4    4.9125534819259024e-05
0.45    0.45    4.989680850610573e-05
0.45    0.5    5.044658246937133e-05
0.45    0.55    4.911944557323011e-05
0.45    0.6000000000000001    5.073065498310869e-05
0.45    0.65    5.058427253648723e-05
0.45    0.7000000000000001    4.8754078683600516e-05
0.45    0.75    5.047979795886521e-05
0.45    0.8    4.99511214614514e-05
0.45    0.8500000000000001    5.050548708345531e-05
0.45    0.9    4.973893440344774e-05
0.45    0.9500000000000001    5.041866672643218e-05
0.45    1.0    5.0394157222756636e-05
0.5    0.0    4.994879337709139e-05
0.5    0.05    5.339774481091211e-05
0.5    0.1    5.0929636488067695e-05
0.5    0.15000000000000002    5.110183954127264e-05
0.5    0.2    4.927443962079303e-05
0.5    0.25    4.923675738820826e-05
0.5    0.30000000000000004    4.973297398993223e-05
