#p1    p3    infected%
0.45   0.05    0.0645612
0.45   0.1    0.0805032
0.45   0.15000000000000002    0.10747999999999999
0.45   0.2    0.1351824
0.45   0.25    0.15649200000000002
0.45   0.30000000000000004    0.1931028
0.45   0.35000000000000003    0.1953544
0.45   0.4    0.20682759999999997
0.45   0.45    0.2109148
0.45   0.5    0.23489200000000002
0.45   0.55    0.2443748
0.45   0.6000000000000001    0.2570964
0.45   0.65    0.28165039999999997
0.45   0.7000000000000001    0.2802172
0.45   0.75    0.2934768
0.45   0.8    0.2941688
0.45   0.8500000000000001    0.3056948
0.45   0.9    0.3027604
0.45   0.9500000000000001    0.3130428
0.45   1.0    0.3157084
0.5   0.0    0.0564952
0.5   0.05    0.0701444
0.5   0.1    0.1004668
0.5   0.15000000000000002    0.11407560000000001
0.5   0.2    0.1585996
0.5   0.25    0.1753576
0.5   0.30000000000000004    0.1935172
0.5   0.35000000000000003    0.20891759999999998
0.5   0.4    0.21048359999999997
0.5   0.45    0.246292
0.5   0.5    0.2566792
0.5   0.55    0.2789448
0.5   0.6000000000000001    0.301174
0.5   0.65    0.28812519999999997
0.5   0.7000000000000001    0.31406039999999996
0.5   0.75    0.316236
0.5   0.8    0.3095872
0.5   0.8500000000000001    0.32915120000000003
0.5   0.9    0.3348388
0.5   0.9500000000000001    0.3357768
0.5   1.0    0.341534
0.55   0.0    0.058822
0.55   0.05    0.076462
0.55   0.1    0.0941392
0.55   0.15000000000000002    0.132466
0.55   0.2    0.1598152
0.55   0.25    0.1896468
0.55   0.30000000000000004    0.204032
0.55   0.35000000000000003    0.2311248
0.55   0.4    0.2442848
0.55   0.45    0.2710384
0.55   0.5    0.2828704
0.55   0.55    0.27529560000000003
0.55   0.6000000000000001    0.30881759999999997
0.55   0.65    0.3173216
0.55   0.7000000000000001    0.31947159999999997
0.55   0.75    0.332978
0.55   0.8    0.3370248
0.55   0.8500000000000001    0.3383276
0.55   0.9    0.3558072
0.55   0.9500000000000001    0.3530876
0.55   1.0    0.3552652
0.6000000000000001   0.0    0.0613384
0.6000000000000001   0.05    0.0759948
0.6000000000000001   0.1    0.1078812
0.6000000000000001   0.15000000000000002    0.131878
0.6000000000000001   0.2    0.16749239999999999
0.6000000000000001   0.25    0.1983664
0.6000000000000001   0.30000000000000004    0.2262712
0.6000000000000001   0.35000000000000003    0.2413772
0.6000000000000001   0.4    0.2836216
0.6000000000000001   0.45    0.27524
0.6000000000000001   0.5    0.29092399999999996
0.6000000000000001   0.55    0.3127668
0.6000000000000001   0.6000000000000001    0.32766480000000003
0.6000000000000001   0.65    0.3324368
0.6000000000000001   0.7000000000000001    0.3369584
0.6000000000000001   0.75    0.3514856
0.6000000000000001   0.8    0.3617596
0.6000000000000001   0.8500000000000001    0.3727988
0.6000000000000001   0.9    0.3733864
0.6000000000000001   0.9500000000000001    0.38070160000000003
0.6000000000000001   1.0    0.39563760000000003
0.65   0.0    0.0653648
0.65   0.05    0.0799264
0.65   0.1    0.10819000000000001
0.65   0.15000000000000002    0.14611079999999999
0.65   0.2    0.1676528
0.65   0.25    0.203096
0.65   0.30000000000000004    0.2221676
0.65   0.35000000000000003    0.2534424
0.65   0.4    0.2770848
0.65   0.45    0.2776288
0.65   0.5    0.3097076
0.65   0.55    0.3196868
0.65   0.6000000000000001    0.34116599999999997
0.65   0.65    0.3456396
0.65   0.7000000000000001    0.357198
0.65   0.75    0.361414
0.65   0.8    0.36599
0.65   0.8500000000000001    0.3859096
0.65   0.9    0.39105
0.65   0.9500000000000001    0.3979868
0.65   1.0    0.3973828
0.7000000000000001   0.0    0.061903200000000005
0.7000000000000001   0.05    0.0787996
0.7000000000000001   0.1    0.1008836
0.7000000000000001   0.15000000000000002    0.15622080000000002
0.7000000000000001   0.2    0.171998
0.7000000000000001   0.25    0.2144292
0.7000000000000001   0.30000000000000004    0.2469248
0.7000000000000001   0.35000000000000003    0.2686196
0.7000000000000001   0.4    0.293944
0.7000000000000001   0.45    0.3055656
0.7000000000000001   0.5    0.3294236
0.7000000000000001   0.55    0.3398764
0.7000000000000001   0.6000000000000001    0.3502552
0.7000000000000001   0.65    0.3595284
0.7000000000000001   0.7000000000000001    0.3807356
0.7000000000000001   0.75    0.3828132
0.7000000000000001   0.8    0.38848760000000004
0.7000000000000001   0.8500000000000001    0.40081039999999996
0.7000000000000001   0.9    0.4041392
0.7000000000000001   0.9500000000000001    0.4126228
0.7000000000000001   1.0    0.420116
0.75   0.0    0.060520000000000004
0.75   0.05    0.0849072
0.75   0.1    0.11152840000000001
0.75   0.15000000000000002    0.1543736
0.75   0.2    0.191578
0.75   0.25    0.22545120000000002
0.75   0.30000000000000004    0.24673960000000003
0.75   0.35000000000000003    0.2833152
0.75   0.4    0.30932719999999997
0.75   0.45    0.3145
0.75   0.5    0.3273508
0.75   0.55    0.3548328
0.75   0.6000000000000001    0.36440120000000004
0.75   0.65    0.3676892
0.75   0.7000000000000001    0.3864932
0.75   0.75    0.3970216
0.75   0.8    0.4053568
0.75   0.8500000000000001    0.4077072
0.75   0.9    0.41658639999999997
0.75   0.9500000000000001    0.4236828
0.75   1.0    0.4261096
0.8   0.0    0.0644856
0.8   0.05    0.0848568
0.8   0.1    0.1127892
0.8   0.15000000000000002    0.15223040000000002
0.8   0.2    0.19486320000000001
0.8   0.25    0.22801999999999997
0.8   0.30000000000000004    0.259212
0.8   0.35000000000000003    0.2906864
0.8   0.4    0.3006552
0.8   0.45    0.32862759999999996
0.8   0.5    0.3420948
0.8   0.55    0.35344200000000003
0.8   0.6000000000000001    0.3737092
0.8   0.65    0.3801952
0.8   0.7000000000000001    0.38504679999999997
0.8   0.75    0.405522
0.8   0.8    0.411296
0.8   0.8500000000000001    0.4230364
0.8   0.9    0.4321
0.8   0.9500000000000001    0.4366632
0.8   1.0    0.4381156
0.8500000000000001   0.0    0.059522000000000005
0.8500000000000001   0.05    0.0872748
0.8500000000000001   0.1    0.1155272
0.8500000000000001   0.15000000000000002    0.161504
0.8500000000000001   0.2    0.18777560000000001
0.8500000000000001   0.25    0.22895279999999998
0.8500000000000001   0.30000000000000004    0.2647828
0.8500000000000001   0.35000000000000003    0.2795092
0.8500000000000001   0.4    0.3074216
0.8500000000000001   0.45    0.3294968
0.8500000000000001   0.5    0.3485868
0.8500000000000001   0.55    0.369846
0.8500000000000001   0.6000000000000001    0.3877148
0.8500000000000001   0.65    0.39230160000000003
0.8500000000000001   0.7000000000000001    0.4005736
0.8500000000000001   0.75    0.4129892
0.8500000000000001   0.8    0.42724480000000004
0.8500000000000001   0.8500000000000001    0.4325992
0.8500000000000001   0.9    0.44899880000000003
0.8500000000000001   0.9500000000000001    0.44510959999999994
0.8500000000000001   1.0    0.4527768
0.9   0.0    0.0626988
0.9   0.05    0.0866232
0.9   0.1    0.1330588
0.9   0.15000000000000002    0.1573292
0.9   0.2    0.204734
0.9   0.25    0.2393576
0.9   0.30000000000000004    0.2858544
0.9   0.35000000000000003    0.307492
0.9   0.4    0.31703600000000004
0.9   0.45    0.3426996
0.9   0.5    0.3600428
0.9   0.55    0.3736556
0.9   0.6000000000000001    0.39872040000000003
0.9   0.65    0.4028256
0.9   0.7000000000000001    0.42207799999999995
0.9   0.75    0.4171348
0.9   0.8    0.4399884
0.9   0.8500000000000001    0.44244799999999995
0.9   0.9    0.4459532
0.9   0.9500000000000001    0.45453639999999995
0.9   1.0    0.4698492
0.9500000000000001   0.0    0.0673224
0.9500000000000001   0.05    0.08025
0.9500000000000001   0.1    0.11256
0.9500000000000001   0.15000000000000002    0.1588924
0.9500000000000001   0.2    0.20887440000000002
0.9500000000000001   0.25    0.2404488
